hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,
10577,42-058-C-5,1,8,142,80,,
10578,42-059-A-3,1,4,142,40,,
10579,42-059-E-4,1,4,142,40,,
10580,42-060-A-4,1,7,142,70,,
10581,42-062-B-5,1,1,142,10,,
10582,42-062-D-1,1,8,142,80,,
10583,42-062-D-4,1,11,142,110,,
10584,42-065-A-1,1,2,142,20,,
10585,42-066-A-6,1,9,142,90,,
10586,42-069-A-7,1,6,142,60,,
10587,42-070-A-2,1,11,142,110,,
10588,42-071-A-2,1,12,142,120,,
10589,42-071-A-5,1,5,142,50,,
10590,42-074-A-1,1,6,142,60,,
10591,42-074-B-5,1,5,142,50,,
10592,42-075-A-3,1,8,142,80,,
10593,42-076-A-1,1,5,142,50,,
10594,42-076-A-6,1,4,142,40,,
10595,42-077-A-2,1,19,142,190,,
10596,42-081-B-1,1,7,142,70,,
10597,42-083-A-4,1,4,142,40,,
10598,42-083-B-2,1,6,142,60,,
10599,42-086-A-4,1,13,142,130,,
10600,42-087-A-2,1,9,142,90,,
10601,42-089-C-1,1,1,142,10,,
10602,42-094-B-1,1,8,142,80,,
10603,42-098-D-1,1,4,142,40,,
10604,42-100-A-6,1,7,142,70,,
10605,42-101-A-4,1,7,142,70,,
10606,42-101-A-7,1,5,142,50,,
10607,42-105-A-2,1,2,142,20,,
10608,42-106-A-6,1,8,142,80,,
10609,42-107-B-1,1,1,142,10,,
10610,42-108-A-1,1,17,142,170,,
10611,42-108-A-2,1,17,142,170,,
10612,42-108-A-6,1,3,142,30,,
10613,42-110-A-1,1,6,142,60,,
10614,42-110-B-6,1,1,142,10,,
10615,42-115-A-7,1,9,142,90,,
10616,42-116-A-5,1,10,142,100,,
10617,42-116-B-3,1,9,142,90,,
10618,42-117-A-2,1,1,142,10,,
10619,42-122-A-3,1,7,142,70,,
10620,42-123-A-3,1,4,142,40,,
10621,42-124-A-7,1,7,142,70,,
10622,42-125-A-2,1,3,142,30,,
10623,42-127-A-5,1,8,142,80,,
10624,42-129-A-1,1,11,142,110,,
10625,42-133-A-5,1,12,142,120,,
10626,42-134-A-2,1,14,142,140,,
10627,42-136-A-3,1,13,142,130,,
10628,42-136-A-6,1,11,142,110,,
10629,42-148-A-3,1,4,142,40,,
10630,42-152-A-1,1,11,142,110,,
10631,42-154-A-4,1,6,142,60,,
10632,42-155-A-2,1,8,142,80,,
10633,42-156-A-5,1,16,142,160,,
10634,42-163-A-5,1,7,142,70,,
10635,42-164-A-2,1,6,142,60,,
10636,42-167-A-6,1,7,142,70,,
10637,42-168-A-3,1,7,142,70,,
10638,42-168-A-5,1,13,142,130,,
10639,42-169-A-2,1,14,142,140,,
10640,42-169-A-3,1,7,142,70,,
10641,42-174-A-2,1,6,142,60,,
10642,42-179-B-2,1,10,142,100,,
10643,42-183-A-7,1,3,142,30,,
10644,42-186-I-2,1,1,142,10,,
10645,42-188-A-2,1,8,142,80,,
10646,42-188-A-4,1,11,142,110,,
10647,42-192-A-7,1,15,142,150,,
10648,42-194-A-7,1,6,142,60,,
10649,42-198-A-2,1,14,142,140,,
10650,42-198-C-5,1,1,142,10,,
10651,42-201-E-6,1,13,142,130,,
10652,42-201-G-6,1,9,142,90,,
10653,42-202-A-5,1,9,142,90,,
10654,42-204-A-2,1,12,142,120,,
10655,42-204-A-5,1,7,142,70,,
10656,42-205-C-2,1,5,142,50,,
10657,42-210-A-1,1,1,142,10,,
10658,42-210-A-2,1,7,142,70,,
