hh_id               itime                                     day
10380         250, 10, 10                  22(5), 89(18), 169(34)
10381         175, 10, 10                  21(5), 88(18), 168(34)
10382          75, 10, 10                  19(4), 87(18), 167(34)
10383         250, 10, 10                  25(5), 86(18), 166(34)
10384         375, 10, 10                  24(5), 85(17), 165(33)
10385         525, 10, 10                  23(5), 84(17), 164(33)
10386         150, 10, 10                  18(4), 83(17), 163(33)
10387         850, 10, 10                  22(5), 82(17), 162(33)
10388         325, 10, 10                  21(5), 81(17), 161(33)
10389     100, 10, 10, 10         17(4), 80(16), 160(32), 240(48)
10390     200, 10, 10, 10         16(4), 79(16), 159(32), 239(48)
10391     125, 10, 10, 10         20(4), 78(16), 158(32), 238(48)
10392     175, 10, 10, 10         19(4), 77(16), 157(32), 237(48)
10393     200, 10, 10, 10         18(4), 76(16), 156(32), 236(48)
10394     175, 10, 10, 10         17(4), 75(15), 155(31), 235(47)
10395     150, 10, 10, 10         16(4), 74(15), 154(31), 234(47)
10396     175, 10, 10, 10         28(6), 73(15), 153(31), 233(47)
10397      75, 10, 10, 10         27(6), 72(15), 152(31), 232(47)
10398     125, 10, 10, 10         26(6), 71(15), 151(31), 231(47)
10399     175, 10, 10, 10         30(6), 70(14), 150(30), 230(46)
10400     225, 10, 10, 10         29(6), 69(14), 149(30), 229(46)
10401      25, 10, 10, 10          6(2), 68(14), 148(30), 228(46)
10402     350, 10, 10, 10         28(6), 67(14), 147(30), 227(46)
10403     200, 10, 10, 10         27(6), 66(14), 146(30), 226(46)
10404      75, 10, 10, 10         23(5), 65(13), 145(29), 225(45)
10405     300, 10, 10, 10         26(6), 64(13), 144(29), 224(45)
10406     150, 10, 10, 10         30(6), 63(13), 143(29), 223(45)
10407     375, 10, 10, 10         29(6), 62(13), 142(29), 222(45)
10408     225, 10, 10, 10         28(6), 61(13), 141(29), 221(45)
10409     300, 10, 10, 10         27(6), 60(12), 140(28), 220(44)
10410     150, 10, 10, 10         26(6), 59(12), 139(28), 219(44)
10411     200, 10, 10, 10         30(6), 58(12), 138(28), 218(44)
10412     150, 10, 10, 10         29(6), 57(12), 137(28), 217(44)
10413     225, 10, 10, 10         28(6), 56(12), 136(28), 216(44)
10414      10, 10, 10, 10        46(10), 55(11), 135(27), 215(43)
10415      10, 10, 10, 10        50(10), 54(11), 134(27), 214(43)
10416      10, 10, 10, 10        49(10), 53(11), 133(27), 213(43)
10417      10, 10, 10, 10        48(10), 52(11), 132(27), 212(43)
10418      10, 10, 10, 10        47(10), 51(11), 131(27), 211(43)
10419      10, 10, 10, 10        46(10), 50(10), 130(26), 210(42)
10420          10, 10, 10                50(10), 129(26), 209(42)
10421          10, 10, 10                49(10), 128(26), 208(42)
10422          10, 10, 10                48(10), 127(26), 207(42)
10423          10, 10, 10                47(10), 126(26), 206(42)
10424          10, 10, 10                46(10), 125(25), 205(41)
10425          10, 10, 10                50(10), 124(25), 204(41)
10426          10, 10, 10                49(10), 123(25), 203(41)
10427          10, 10, 10                48(10), 122(25), 202(41)
10428          10, 10, 10                47(10), 121(25), 201(41)
10429          10, 10, 10                46(10), 120(24), 200(40)
10430          10, 10, 10                50(10), 119(24), 199(40)
10431          10, 10, 10                49(10), 118(24), 198(40)
10432          10, 10, 10                 43(9), 117(24), 197(40)
10433          10, 10, 10                48(10), 116(24), 196(40)
10434          10, 10, 10                 42(9), 115(23), 195(39)
10435          10, 10, 10                 41(9), 114(23), 194(39)
10436          10, 10, 10                 45(9), 113(23), 193(39)
10437          10, 10, 10                 36(8), 112(23), 192(39)
10438          10, 10, 10                 40(8), 111(23), 191(39)
10439          10, 10, 10                 44(9), 110(22), 190(38)
10440          10, 10, 10                 43(9), 109(22), 189(38)
10441          10, 10, 10                 42(9), 108(22), 188(38)
10442          10, 10, 10                 41(9), 107(22), 187(38)
10443          10, 10, 10                58(12), 106(22), 186(38)
10444          10, 10, 10                57(12), 105(21), 185(37)
10445          10, 10, 10                56(12), 104(21), 184(37)
10446          10, 10, 10                60(12), 103(21), 183(37)
10447          10, 10, 10                47(10), 102(21), 182(37)
10448     200, 10, 10, 10          20(4), 21(5), 101(21), 181(37)
10449     225, 10, 10, 10          19(4), 20(4), 100(20), 180(36)
10450     100, 10, 10, 10           18(4), 19(4), 99(20), 179(36)
10451     125, 10, 10, 10           14(3), 18(4), 98(20), 178(36)
10452     225, 10, 10, 10           17(4), 17(4), 97(20), 177(36)
10453     300, 10, 10, 10           16(4), 16(4), 96(20), 176(36)
10454         300, 10, 10                  20(4), 95(19), 175(35)
10455         200, 10, 10                  19(4), 94(19), 174(35)
10456         300, 10, 10                  18(4), 93(19), 173(35)
10457          50, 10, 10                  13(3), 92(19), 172(35)
10458         475, 10, 10                  17(4), 91(19), 171(35)
10459         375, 10, 10                  16(4), 90(18), 170(34)
10460         100, 10, 10                  12(3), 89(18), 169(34)
10461         250, 10, 10                  11(3), 88(18), 168(34)
10462         350, 10, 10                  15(3), 87(18), 167(34)
10463         125, 10, 10                  14(3), 86(18), 166(34)
10464         250, 10, 10                  13(3), 85(17), 165(33)
10465         100, 10, 10                  12(3), 84(17), 164(33)
10466         125, 10, 10                  11(3), 83(17), 163(33)
10467          10, 10, 10                  31(7), 82(17), 162(33)
10468          10, 10, 10                  35(7), 81(17), 161(33)
10469      10, 10, 10, 10         34(7), 80(16), 160(32), 240(48)
10470      10, 10, 10, 10         33(7), 79(16), 159(32), 239(48)
10471      10, 10, 10, 10         32(7), 78(16), 158(32), 238(48)
10472      10, 10, 10, 10         31(7), 77(16), 157(32), 237(48)
10473      10, 10, 10, 10         35(7), 76(16), 156(32), 236(48)
10474      10, 10, 10, 10         27(6), 75(15), 155(31), 235(47)
10475      10, 10, 10, 10         26(6), 74(15), 154(31), 234(47)
10476      10, 10, 10, 10         34(7), 73(15), 153(31), 233(47)
10477      10, 10, 10, 10         30(6), 72(15), 152(31), 232(47)
10478      10, 10, 10, 10         29(6), 71(15), 151(31), 231(47)
10479      10, 10, 10, 10         28(6), 70(14), 150(30), 230(46)
10480      10, 10, 10, 10         27(6), 69(14), 149(30), 229(46)
10481      10, 10, 10, 10         26(6), 68(14), 148(30), 228(46)
10482      10, 10, 10, 10         30(6), 67(14), 147(30), 227(46)
